nom,age,nationalite,club,valeur,salaire,rupture,attaque/defense,pied
Isco,26,Spain,Real Madrid,73500,315,156200.0,High/ Medium,Right
C. Eriksen,26,Denmark,Tottenham Hotspur,73500,205,141500.0,High/ Medium,Right
Coutinho,26,Brazil,FC Barcelona,69500,340,147700.0,High/ High,Right
P. Aubameyang,29,Gabon,Arsenal,59000,265,112100.0,Medium/ Low,Right
M. Hummels,29,Germany,FC Bayern München,46000,160,75900.0,High/ Medium,Right
Marcelo,30,Brazil,Real Madrid,43000,285,88200.0,High/ Low,Left
G. Bale,28,United Kingdom,Real Madrid,60000,355,123000.0,High/ Medium,Left
H. Lloris,31,France,Tottenham Hotspur,36000,150,66599.0,Medium/ Medium,Left
G. Higuaín,30,Argentina,Milan,57000,245,,High/ Medium,Right
Thiago Silva,33,Brazil,Paris Saint-Germain,24000,165,44400.0,Medium/ High,Right
S. Handanovič,33,Slovenia,Inter,30000,110,51000.0,Medium/ Medium,Right
G. Buffon,40,Italy,Paris Saint-Germain,4000,77,7400.0,Medium/ Medium,Right
S. Umtiti,24,France,FC Barcelona,57000,205,121100.0,Medium/ High,Left
M. Icardi,25,Argentina,Inter,64500,130,114500.0,Medium/ Low,Right
K. Koulibaly,27,Senegal,Napoli,51000,115,90500.0,High/ High,Right
P. Pogba,25,France,Manchester United,64000,210,123200.0,High/ Low,Right
K. Navas,31,Costa Rica,Real Madrid,30500,195,62500.0,Medium/ Medium,Right
R. Lukaku,25,Belgium,Manchester United,62500,230,120300.0,Medium/ Medium,Left
C. Immobile,28,Italy,Lazio,52000,115,88400.0,High/ Medium,Right
Jordi Alba,29,Spain,FC Barcelona,38000,250,77900.0,High/ Medium,Left
D. Mertens,31,Belgium,Napoli,45000,135,76500.0,High/ Low,Right
J. Vertonghen,31,Belgium,Tottenham Hotspur,34000,155,62900.0,High/ High,Left
M. Hamšík,30,Slovakia,Napoli,46500,125,79100.0,High/ Medium,Right
I. Rakitić,30,Croatia,FC Barcelona,46500,260,95300.0,High/ High,Right
Piqué,31,Spain,FC Barcelona,34000,240,69700.0,High/ Medium,Right
L. Sané,22,Germany,Manchester City,61000,195,125100.0,High/ Medium,Left
Bernardo Silva,23,Portugal,Manchester City,59500,180,114500.0,High/ Medium,Left
Ederson,24,Brazil,Manchester City,41500,125,79900.0,Medium/ Medium,Left
S. Mané,26,Senegal,Liverpool,52000,195,102700.0,High/ Medium,Right
V. van Dijk,26,Netherlands,Liverpool,44500,165,87900.0,Medium/ Medium,Right
R. Sterling,23,United Kingdom,Manchester City,56500,195,108800.0,High/ Medium,Right
Roberto Firmino,26,Brazil,Liverpool,53000,195,104700.0,High/ High,Right
R. Varane,25,France,Real Madrid,50000,210,106300.0,Medium/ High,Right
M. Verratti,25,Italy,Paris Saint-Germain,55000,135,105900.0,Medium/ High,Right
Alex Sandro,27,Brazil,Juventus,36500,160,60200.0,High/ High,Left
Douglas Costa,27,Brazil,Juventus,46500,175,76700.0,High/ Medium,Left
T. Müller,28,Germany,FC Bayern München,45000,135,74300.0,High/ High,Right
Thiago,27,Spain,FC Bayern München,45500,130,75100.0,Medium/ Medium,Right
M. Reus,29,Germany,Borussia Dortmund,43500,100,74000.0,High/ Medium,Right
Azpilicueta,28,Spain,Chelsea,35000,175,64800.0,Medium/ Medium,Right
L. Bonucci,31,Italy,Juventus,30000,160,49500.0,Low/ High,Right
T. Alderweireld,29,Belgium,Tottenham Hotspur,39000,150,75100.0,Medium/ Medium,Right
M. Pjanić,28,Bosnia Herzegovina,Juventus,44000,180,72600.0,Medium/ Medium,Right
M. Benatia,31,Morocco,Juventus,30000,160,49500.0,Medium/ High,Right
M. Özil,29,Germany,Arsenal,43500,190,82700.0,Medium/ Low,Left
Fernandinho,33,Brazil,Manchester City,18000,185,33299.0,Medium/ High,Right
Iniesta,34,Spain,Vissel Kobe,21500,21,26900.0,High/ Medium,Right
M. Škriniar,23,Slovakia,Inter,46500,82,88400.0,Medium/ High,Right
S. Milinković-Savić,23,Republic of Serbia,Lazio,50500,73,89600.0,High/ Medium,Right
Marco Asensio,22,Spain,Real Madrid,54000,215,121500.0,High/ Medium,Left
N. Fekir,24,France,Olympique Lyonnais,50000,92,98800.0,High/ Medium,Left
Alisson,25,Brazil,Liverpool,36500,115,72100.0,Medium/ Medium,Right
J. Kimmich,23,Germany,FC Bayern München,40500,92,69900.0,High/ Low,Right
Saúl,23,Spain,Atlético Madrid,50500,77,107300.0,High/ High,Left
R. Mahrez,27,Algeria,Manchester City,40500,205,74900.0,Medium/ Medium,Left
D. Alaba,26,Austria,FC Bayern München,38000,110,65599.0,High/ Medium,Left
Koke,26,Spain,Atlético Madrid,45000,88,95600.0,High/ High,Right
A. Lacazette,27,France,Arsenal,45000,180,88900.0,High/ High,Right
K. Manolas,27,Greece,Roma,37500,96,66599.0,Low/ High,Right
N. Otamendi,30,Argentina,Manchester City,28500,170,52700.0,High/ High,Right
Parejo,29,Spain,Valencia CF,37000,66,77700.0,Medium/ Low,Right
Paulinho,29,Brazil,Guangzhou Evergrande Taobao FC,37000,235,,High/ High,Right
W. Szczęsny,28,Poland,Juventus,32000,125,55200.0,Medium/ Medium,Right
A. Sánchez,29,Chile,Manchester United,37500,215,69400.0,High/ High,Right
Y. Brahimi,28,Algeria,FC Porto,39000,28,78000.0,High/ Medium,Right
J. Boateng,29,Germany,FC Bayern München,30000,115,49500.0,Medium/ Medium,Right
A. Vidal,31,Chile,FC Barcelona,26000,205,53300.0,Medium/ Medium,Right
I. Perišić,29,Croatia,Inter,37500,110,63800.0,Medium/ Medium,Right
E. Džeko,32,Bosnia Herzegovina,Roma,30500,115,51900.0,Medium/ Medium,Right
S. Khedira,31,Germany,Juventus,33000,160,54500.0,High/ High,Right
Diego Costa,29,Spain,Atlético Madrid,38500,100,78900.0,High/ Medium,Right
R. Nainggolan,30,Belgium,Inter,35500,105,60400.0,High/ High,Right
Naldo,35,Brazil,FC Schalke 04,9000,38,15300.0,Medium/ Medium,Right
B. Matuidi,31,France,Juventus,26000,145,42900.0,High/ High,Left
Miranda,33,Brazil,Inter,15500,96,26400.0,Medium/ High,Right
K. Benzema,30,France,Real Madrid,37000,240,75900.0,Medium/ Low,Right
Filipe Luís,32,Brazil,Atlético Madrid,21500,81,44100.0,High/ Medium,Left
V. Kompany,32,Belgium,Manchester City,22000,170,40700.0,Medium/ High,Right
Pepe,35,Portugal,Beşiktaş JK,9000,57,17100.0,Medium/ High,Right
Z. Ibrahimović,36,Sweden,LA Galaxy,14000,15,21000.0,Medium/ Low,Right
D. Sánchez,22,Colombia,Tottenham Hotspur,34000,105,65500.0,Medium/ High,Right
J. Giménez,23,Uruguay,Atlético Madrid,34000,63,72300.0,Medium/ High,Right
Alex Telles,25,Brazil,FC Porto,32000,22,66400.0,High/ Medium,Left
A. Laporte,24,France,Manchester City,34000,135,65500.0,Medium/ Medium,Left
Bruno Fernandes,23,Portugal,Sporting CP,40500,22,84000.0,High/ Medium,Right
N. Süle,22,Germany,FC Bayern München,36500,84,67500.0,Medium/ Medium,Right
A. Martial,22,France,Manchester United,42500,165,87100.0,Medium/ Medium,Right
D. Alli,22,United Kingdom,Tottenham Hotspur,42500,115,87100.0,High/ High,Right
Fabinho,24,Brazil,Liverpool,34000,120,67200.0,Medium/ Medium,Right
Marquinhos,24,Brazil,Paris Saint-Germain,35500,90,68300.0,Medium/ Medium,Right
William Carvalho,26,Portugal,Real Betis,31500,38,68500.0,Medium/ Medium,Right
Jorginho,26,Italy,Chelsea,38000,155,73200.0,Medium/ Medium,Right
F. Thauvin,25,France,Olympique de Marseille,39000,72,77000.0,High/ Medium,Left
Carvajal,26,Spain,Real Madrid,31500,185,66900.0,High/ High,Right
M. Depay,24,Netherlands,Olympique Lyonnais,42000,93,83000.0,High/ Low,Right
H. Son,25,South Korea,Tottenham Hotspur,37000,125,71200.0,High/ High,Right
A. Lopes,27,Portugal,Olympique Lyonnais,25000,72,49400.0,Medium/ Medium,Left
S. de Vrij,26,Netherlands,Inter,31500,88,55900.0,Medium/ High,Right
M. Perin,25,Italy,Juventus,29500,105,50900.0,Medium/ Medium,Right
J. Cuadrado,30,Colombia,Juventus,29500,150,48700.0,High/ Medium,Right
Iago Aspas,30,Spain,RC Celta,30000,45,63000.0,High/ High,Left
B. Leno,26,Germany,Arsenal,27000,115,53300.0,Medium/ Medium,Right
N. Matić,29,Republic of Serbia,Manchester United,24000,165,44400.0,Medium/ High,Left
L. Hrádecký,28,Finland,Bayer 04 Leverkusen,22000,74,37400.0,Medium/ Medium,Right
Illarramendi,28,Spain,Real Sociedad,31000,51,65099.0,Medium/ High,Right
K. Walker,28,United Kingdom,Manchester City,24500,165,45300.0,High/ High,Right
I. Gündoğan,27,Germany,Manchester City,32000,175,59200.0,High/ Medium,Right
José Callejón,31,Spain,Napoli,27500,105,46800.0,High/ High,Right
A. Di María,30,Argentina,Paris Saint-Germain,29500,125,54600.0,High/ Medium,Left
M. Mandžukić,32,Croatia,Juventus,25000,160,41300.0,High/ High,Right
Willian,29,Brazil,Chelsea,30500,175,56400.0,High/ High,Right
Sergio Asenjo,29,Spain,Villarreal CF,24000,42,52200.0,Medium/ Medium,Right
E. Banega,30,Argentina,Sevilla FC,29000,31,60900.0,Medium/ Medium,Right
A. Witsel,29,Belgium,Borussia Dortmund,24000,77,40800.0,Medium/ Medium,Right
D. Payet,31,France,Olympique de Marseille,27500,75,52300.0,High/ Low,Right
Jonas,34,Brazil,SL Benfica,16500,25,33000.0,High/ Medium,Right
Sokratis,30,Greece,Arsenal,23000,140,43700.0,Medium/ High,Right
S. Ruffier,31,France,AS Saint-Étienne,19000,41,36100.0,Medium/ Medium,Right
Falcao,32,Colombia,AS Monaco,25000,115,47500.0,High/ Medium,Right
K. Schmeichel,31,Denmark,Leicester City,19000,78,36100.0,Medium/ Medium,Right
Raúl Albiol,32,Spain,Napoli,18000,88,30600.0,Low/ High,Right
A. Gómez,30,Argentina,Atalanta,30000,53,51000.0,High/ Medium,Right
A. Barzagli,37,Italy,Juventus,4200,95,6900.0,Low/ High,Right
Quaresma,34,Portugal,Beşiktaş JK,15500,80,29500.0,High/ Low,Right
A. Robben,34,Netherlands,FC Bayern München,15500,110,25600.0,High/ Low,Left
O. Dembélé,21,France,FC Barcelona,40000,155,90000.0,High/ Low,Left
Gabriel Jesus,21,Brazil,Manchester City,41000,130,84100.0,High/ High,Right
Ronaldo Cabrais,26,Brazil,Grêmio,28000,51,50400.0,High/ Medium,Right
Josué Chiamulera,26,Brazil,Grêmio,22500,43,40500.0,Medium/ Medium,Right
Louri Beretta,26,Brazil,Atlético Mineiro,28500,60,54200.0,High/ Low,Right
P. Kimpembe,22,France,Paris Saint-Germain,30500,82,62500.0,High/ High,Left
N. Keïta,23,Guinea,Liverpool,34000,120,67200.0,High/ Medium,Right
C. Tolisso,23,France,FC Bayern München,34000,85,58700.0,High/ Medium,Right
T. Lemar,22,France,Atlético Madrid,35500,64,79900.0,High/ Medium,Left
K. Coman,22,France,FC Bayern München,34000,85,58700.0,Medium/ Low,Right
J. Tah,22,Germany,Bayer 04 Leverkusen,29500,67,52400.0,Medium/ Medium,Right
Anderson Talisca,24,Brazil,Guangzhou Evergrande Taobao FC,36500,18,,High/ Medium,Left
T. Werner,22,Germany,RB Leipzig,34500,70,61200.0,High/ Medium,Right
A. Rabiot,23,France,Paris Saint-Germain,33000,91,63500.0,High/ Medium,Left
L. Goretzka,23,Germany,FC Bayern München,34000,85,58700.0,High/ High,Right
Q. Promes,26,Netherlands,Sevilla FC,30500,28,66300.0,High/ Low,Right
H. Ziyech,25,Morocco,Ajax,32500,28,47900.0,High/ High,Left
Lucas Vázquez,27,Spain,Real Madrid,27000,205,55400.0,High/ High,Right
Y. Carrasco,24,Belgium,Dalian YiFang FC,33000,20,73400.0,High/ Medium,Right
Gerard Moreno,26,Spain,Villarreal CF,32000,53,69600.0,High/ Medium,Left
Felipe,29,Brazil,FC Porto,20000,22,40000.0,Medium/ High,Right
M. Kovačić,24,Croatia,Chelsea,35000,165,,High/ High,Right
Kepa,23,Spain,Chelsea,28500,84,58400.0,Medium/ Medium,Right
Manu Trigueros,26,Spain,Villarreal CF,30000,49,65300.0,Medium/ Medium,Right
S. Gnabry,22,Germany,FC Bayern München,34500,85,59500.0,High/ Medium,Right
J. Pickford,24,United Kingdom,Everton,25000,78,49400.0,Medium/ Medium,Left
S. Savić,27,Montenegro,Atlético Madrid,26000,67,55300.0,Medium/ High,Right
J. Stones,24,United Kingdom,Manchester City,28500,125,54900.0,High/ Medium,Right
Suso,24,Spain,Milan,33000,115,58600.0,High/ Medium,Left
J. Draxler,24,Germany,Paris Saint-Germain,32500,91,62600.0,Medium/ Medium,Right
Felipe Anderson,25,Brazil,West Ham United,31500,110,62200.0,High/ Medium,Right
Lucas Moura,25,Brazil,Tottenham Hotspur,31000,115,59700.0,High/ Medium,Right
Danilo Pereira,26,Portugal,FC Porto,27000,21,56000.0,Medium/ High,Right
Nacho Fernández,28,Spain,Real Madrid,24500,180,52100.0,Medium/ High,Right
T. Horn,25,Germany,1. FC Köln,24000,25,37800.0,Medium/ Medium,Left
Allan,27,Brazil,Napoli,26500,87,45100.0,Medium/ High,Right
F. Acerbi,30,Italy,Lazio,19000,64,32299.0,Medium/ Medium,Left
Sergi Roberto,26,Spain,FC Barcelona,26500,170,56300.0,High/ High,Right
Rodrigo,27,Spain,Valencia CF,30500,57,66300.0,High/ Medium,Left
Pizzi,28,Portugal,SL Benfica,25500,22,51000.0,High/ Medium,Right
K. Kampl,27,Slovenia,RB Leipzig,26500,74,45100.0,High/ High,Right
Neto,28,Brazil,Valencia CF,21000,41,45700.0,Medium/ Medium,Right
O. Baumann,28,Germany,TSG 1899 Hoffenheim,21000,42,37300.0,Medium/ Medium,Right
I. Gueye,28,Senegal,Everton,21000,125,39900.0,Medium/ High,Right
H. Mkhitaryan,29,Armenia,Arsenal,25500,145,48500.0,Medium/ Medium,Right
Marcos Alonso,27,Spain,Chelsea,24000,130,46200.0,High/ Low,Left
D. Subašić,33,Croatia,AS Monaco,13000,70,24700.0,Medium/ Medium,Right
K. Glik,30,Poland,AS Monaco,19000,86,36100.0,Low/ Medium,Right
K. Strootman,28,Netherlands,Olympique de Marseille,21000,66,39900.0,Medium/ High,Left
B. Dost,29,Netherlands,Sporting CP,26000,26,52000.0,Medium/ Medium,Right
Oscar,26,Brazil,Shanghai SIPG FC,30500,29,69400.0,Medium/ Medium,Right
M. Balotelli,27,Italy,OGC Nice,27500,55,52300.0,Medium/ Low,Right
Luiz Gustavo,30,Brazil,Olympique de Marseille,19000,63,36100.0,Medium/ High,Left
Giuliano,28,Brazil,Al Nassr,26000,64,44200.0,High/ Medium,Right
David Luiz,31,Brazil,Chelsea,17500,130,32400.0,Medium/ Medium,Right
R. Fährmann,29,Germany,FC Schalke 04,20000,38,35500.0,Medium/ Medium,Right
Juan Mata,30,Spain,Manchester United,24500,160,45300.0,Medium/ Medium,Left
Adán,31,Spain,Atlético Madrid,15500,55,31800.0,Medium/ Medium,Left
Rui Patrício,30,Portugal,Wolverhampton Wanderers,16500,74,31400.0,Medium/ Medium,Left
Y. Sommer,29,Switzerland,Borussia Mönchengladbach,20000,35,35500.0,Medium/ Medium,Right
Javi Martínez,29,Spain,FC Bayern München,20000,94,33000.0,Medium/ Medium,Right
L. Bender,29,Germany,Bayer 04 Leverkusen,20000,82,34000.0,High/ High,Right
Lucas Leiva,31,Brazil,Lazio,17500,64,29800.0,Medium/ High,Right
S. Mandanda,33,France,Olympique de Marseille,13000,51,24700.0,Medium/ Medium,Right
Cesc Fàbregas,31,Spain,Chelsea,22000,140,40700.0,High/ Medium,Right
M. Dembélé,30,Belgium,Tottenham Hotspur,24000,120,44400.0,Medium/ Medium,Left
F. Ribéry,35,France,FC Bayern München,11500,72,19000.0,Medium/ Medium,Right
R. Jarstein,33,Norway,Hertha BSC,13000,33,22100.0,Medium/ Medium,Right
D. De Rossi,34,Italy,Roma,8000,80,13600.0,Medium/ High,Right
Pepe Reina,35,Spain,Milan,6000,56,10200.0,Medium/ Medium,Right
J. Pavlenka,26,Czech Republic,SV Werder Bremen,19500,30,34600.0,Medium/ Medium,Right
M. de Ligt,18,Netherlands,Ajax,27000,11,43200.0,Medium/ Medium,Right
Rodri,22,Spain,Atlético Madrid,29000,59,61600.0,Medium/ High,Right
Arthur,21,Brazil,FC Barcelona,32500,125,73100.0,Medium/ Medium,Right
G. Donnarumma,19,Italy,Milan,29000,23,55100.0,Medium/ Medium,Right
Rosberto Dourado,30,Brazil,Atlético Mineiro,16500,46,31400.0,High/ Medium,Right
Juiano Mestres,34,Brazil,Cruzeiro,6500,39,12400.0,High/ Medium,Right
Raphaelito Anjos,30,Brazil,Grêmio,14000,32,25200.0,Medium/ Medium,Right
Gelson Martins,23,Portugal,Atlético Madrid,29500,59,62700.0,High/ Medium,Right
Gonçalo Guedes,21,Portugal,Valencia CF,29000,36,63100.0,High/ Low,Right
L. Torreira,22,Uruguay,Arsenal,25000,98,49400.0,Medium/ High,Right
Malcom,21,Brazil,FC Barcelona,31500,140,70900.0,Medium/ Medium,Left
Pau López,23,Spain,Real Betis,21500,21,46800.0,Medium/ Medium,Left
L. Hernández,22,France,Atlético Madrid,25500,53,57400.0,Medium/ High,Left
C. Lenglet,23,France,FC Barcelona,26000,135,58500.0,Medium/ High,Left
A. Kramarić,27,Croatia,TSG 1899 Hoffenheim,26000,54,46200.0,Medium/ Medium,Right
A. Robertson,24,United Kingdom,Liverpool,24500,98,48400.0,High/ High,Left
Dani García,28,Spain,Athletic Club de Bilbao,20000,33,43500.0,Medium/ High,Right
F. Bernardeschi,24,Italy,Juventus,29500,110,50900.0,High/ High,Left
J. Brandt,22,Germany,Bayer 04 Leverkusen,30500,68,58000.0,Medium/ Medium,Right
D. Rugani,23,Italy,Juventus,24500,95,42300.0,Low/ Medium,Right
Samu Castillejo,23,Spain,Milan,29000,94,51500.0,Medium/ High,Left
João Cancelo,24,Portugal,Juventus,25500,95,47200.0,High/ Medium,Right
A. Romagnoli,23,Italy,Milan,26500,84,50400.0,Medium/ High,Left
T. Partey,25,Ghana,Atlético Madrid,25500,59,57400.0,High/ High,Right
Fred,25,Brazil,Manchester United,26500,140,51000.0,High/ High,Left
J. Vardy,31,United Kingdom,Leicester City,20000,96,38000.0,High/ High,Right
A. Belotti,24,Italy,Torino,30000,58,53300.0,High/ High,Right
E. Forsberg,26,Sweden,RB Leipzig,26000,67,46200.0,Medium/ Medium,Right
J. Lingard,25,United Kingdom,Manchester United,26500,140,51000.0,High/ High,Right
F. Vázquez,29,Argentina,Sevilla FC,21500,27,45200.0,Medium/ High,Left
E. Višća,28,Bosnia Herzegovina,Medipol Başakşehir FK,22500,40,42800.0,High/ Medium,Right
A. Rüdiger,25,Germany,Chelsea,22500,110,43300.0,Medium/ High,Right
A. Florenzi,27,Italy,Roma,20500,73,36400.0,High/ Medium,Right
H. Maguire,25,United Kingdom,Leicester City,23500,77,46400.0,High/ High,Right
T. Meunier,26,Belgium,Paris Saint-Germain,21000,87,40400.0,High/ High,Right
S. Sané,27,Senegal,FC Schalke 04,18500,41,31500.0,Medium/ High,Right
G. Kondogbia,25,Central African Rep.,Valencia CF,27500,46,59800.0,High/ Medium,Left
Rafinha,25,Brazil,FC Barcelona,29500,165,62700.0,High/ High,Left
Gabriel Paulista,27,Brazil,Valencia CF,21000,44,45700.0,Low/ High,Right
Morata,25,Spain,Chelsea,28500,135,54900.0,High/ High,Right
J. Cillessen,29,Netherlands,FC Barcelona,18000,135,38300.0,Medium/ Medium,Right
W. Ben Yedder,27,France,Sevilla FC,23500,28,49400.0,High/ High,Right
C. Bakambu,27,DR Congo,Beijing Sinobo Guoan FC,26000,33,59200.0,Medium/ Medium,Right
Pablo Sarabia,26,Spain,Sevilla FC,26000,26,56600.0,High/ Medium,Left
W. Zaha,25,Ivory Coast,Crystal Palace,28500,78,56300.0,High/ Low,Right
Luis Alberto,25,Spain,Lazio,28500,67,50600.0,High/ Medium,Right
Jonathan Viera,28,Spain,Beijing Sinobo Guoan FC,22500,31,49500.0,High/ Low,Right
Bartra,27,Spain,Real Betis,21000,32,45700.0,High/ Medium,Right
S. Coates,27,Uruguay,Sporting CP,21000,19,43600.0,Medium/ Medium,Right
Willian José,26,Brazil,Real Sociedad,26500,44,57600.0,Medium/ Low,Right
Mário Fernandes,27,Russia,PFC CSKA Moscow,18500,1,40700.0,High/ High,Right
Víctor Ruiz,29,Spain,Villarreal CF,19500,43,42400.0,Medium/ Medium,Left
T. Delaney,26,Denmark,Borussia Dortmund,21500,61,38200.0,High/ High,Left
K. Casteels,26,Belgium,VfL Wolfsburg,19500,46,34600.0,Medium/ Medium,Left
M. Götze,26,Germany,Borussia Dortmund,27000,67,47900.0,Medium/ Medium,Right
S. Mustafi,26,Germany,Arsenal,22500,115,44400.0,Medium/ High,Right
J. Pastore,29,Argentina,Roma,21500,84,36600.0,High/ Medium,Right
Pedro,30,Spain,Chelsea,21000,140,38900.0,High/ High,Right
G. Bonaventura,28,Italy,Milan,22000,115,37400.0,High/ Medium,Right
R. Bürki,27,Switzerland,Borussia Dortmund,18500,50,32799.0,Medium/ Medium,Right
Taison,30,Brazil,Shakhtar Donetsk,21000,1,44100.0,Medium/ Medium,Right
S. Nzonzi,29,France,Roma,17000,77,28900.0,Medium/ Medium,Right
Marlos,30,Ukraine,Shakhtar Donetsk,21000,1,44100.0,Medium/ Medium,Left
A. Ramsey,27,United Kingdom,Arsenal,25000,130,49400.0,High/ High,Right
K. Trippier,27,United Kingdom,Tottenham Hotspur,18500,99,34200.0,High/ High,Right
A. Kolarov,32,Republic of Serbia,Roma,12500,73,21300.0,High/ Medium,Left
G. Sigurðsson,28,Iceland,Everton,22500,125,42800.0,High/ High,Right
S. Giovinco,31,Italy,Toronto FC,20000,15,30000.0,High/ Medium,Right
M. Arnautović,29,Austria,West Ham United,22000,120,41800.0,High/ Medium,Right
N. Gaitán,30,Argentina,Dalian YiFang FC,21000,22,45200.0,Medium/ Medium,Left
J. Henderson,28,United Kingdom,Liverpool,18000,125,34200.0,Medium/ High,Right
M. Kruse,30,Germany,SV Werder Bremen,21500,45,36600.0,High/ Medium,Left
M. Parolo,33,Italy,Lazio,9000,59,15300.0,High/ High,Right
L. Fejsa,29,Republic of Serbia,SL Benfica,17000,18,34000.0,Low/ High,Right
A. Rami,32,France,Olympique de Marseille,12500,57,23800.0,High/ High,Right
V. Ćorluka,32,Croatia,Lokomotiv Moscow,12500,1,26300.0,High/ Medium,Right
G. Wijnaldum,27,Netherlands,Liverpool,23000,130,43700.0,High/ High,Right
F. Fazio,31,Argentina,Roma,15000,73,25500.0,Medium/ Medium,Right
O. Giroud,31,France,Chelsea,20000,140,37000.0,Medium/ Medium,Left
Marcano,31,Spain,Roma,15000,73,25500.0,Medium/ Medium,Left
A. Guardado,31,Mexico,Real Betis,19000,35,39900.0,Medium/ Medium,Left
E. Garay,31,Argentina,Valencia CF,15000,44,31500.0,Medium/ Medium,Right
Jardel,32,Brazil,SL Benfica,12500,17,25000.0,Medium/ High,Right
S. Sirigu,31,Italy,Torino,13500,45,23000.0,Medium/ Medium,Right
E. Viviano,32,Italy,Sporting CP,12500,15,25000.0,Medium/ Medium,Left
L. Koscielny,32,France,Arsenal,12500,115,23800.0,Medium/ High,Right
A. Consigli,31,Italy,Sassuolo,13500,52,23000.0,Medium/ Medium,Right
L. Biglia,32,Argentina,Milan,12500,98,21300.0,Medium/ High,Right
Dani Alves,35,Brazil,Paris Saint-Germain,4800,62,8900.0,High/ Low,Right
David Villa,36,Spain,New York City FC,8000,12,12000.0,High/ Low,Right
Aduriz,37,Spain,Athletic Club de Bilbao,8000,29,16800.0,High/ Medium,Right
P. Čech,36,Czech Republic,Arsenal,3000,60,5700.0,Medium/ Medium,Left
Casillas,37,Spain,FC Porto,1500,10,3000.0,Medium/ Medium,Left
M. Rashford,20,United Kingdom,Manchester United,27000,110,55400.0,High/ Medium,Right
Laure Santeiro,30,Brazil,Fluminense,17000,40,32299.0,Medium/ Medium,Left
L. Bailey,20,Jamaica,Bayer 04 Leverkusen,26500,54,50400.0,High/ Medium,Left
M. Akanji,22,Switzerland,Borussia Dortmund,21000,49,39900.0,Medium/ High,Right
F. de Jong,21,Netherlands,Ajax,26000,19,41600.0,Medium/ Medium,Right
Nélson Semedo,24,Portugal,FC Barcelona,20000,125,42500.0,Medium/ High,Right
Pablo Fornals,22,Spain,Villarreal CF,24000,36,52200.0,High/ High,Right
Fabián,22,Spain,Napoli,26000,64,49400.0,Medium/ Medium,Left
E. Bailly,24,Ivory Coast,Manchester United,21000,105,43100.0,Medium/ High,Right
Dani Ceballos,21,Spain,Real Madrid,25000,120,56300.0,Medium/ Medium,Right
H. Lozano,22,Mexico,PSV,24000,22,35400.0,High/ Medium,Right
Morales,30,Spain,Levante UD,17000,33,35700.0,High/ Medium,Right
J. Seri,26,Ivory Coast,Fulham,20500,73,40500.0,Medium/ Medium,Right
M. Politano,24,Italy,Inter,22500,57,,High/ Medium,Left
M. Brozović,25,Croatia,Inter,18500,64,32799.0,Medium/ Medium,Right
