Code Education nationale,Type de collège,Nom,Adresse,Code Poste,Commune,Téléphone,adresse e-mail,Nom du (de la) Principal(e),Effectif,année scolaire,Code INSEE de la commune,Coordonnée X GPS,Coordonnée Y GPS,Date de début,Date de fin,Identifiant de l'opération de chargement,Code INSEE du Canton,Nom du Canton,numero de SIREN de l'EPCI,Nom de l'EPCI,Année de référence,Identifiant interne
0630060Y,Public,Collège Alexandre Varenne,"Plateau ""Chez Ponet"" - BP 9 - 63700 SAINT-ELOY LES MINES",63700,SAINT-ELOY-LES-MINES,04 73 85 06 64,Ce.0630060Y@ac-clermont.fr,M BRENEUR Lionel,277,2021/2022,63338,"2,823359","46,163776",01/09/2021,01/07/2022,927,6326,SAINT-ELOY-LES-MINES,200072080,Pays de Saint-Eloy,2021,592
0630074N,Public,Collège Victor Hugo,"4, avenue de la Liberté - 63530 VOLVIC",63530,VOLVIC,04 73 33 52 26,Ce.0630074N@ac-clermont.fr,Mme TOURNADRE-LONDICHE Valérie,502,2021/2022,63470,"3,041234","45,872518",01/09/2021,01/07/2022,927,6309,CHATELGUYON,200070753,Riom Limagne et Volcans,2021,593
0630056U,Public,Collège Gordon Bennett,Le Marchedial - 63210 ROCHEFORT-MONTAGNE,63210,ROCHEFORT-MONTAGNE,04 73 65 82 63,Ce.0630056U@ac-clermont.fr,M CLAVAUD Sylvain,252,2021/2022,63305,"2,802019","45,684685",01/09/2021,01/07/2022,927,6323,ORCINES,200069169,Dômes Sancy Artense,2021,594
0631153L,Public,Collège Jules Romains,"31, avenue du Docteur Chassaing - 63600 AMBERT",63600,AMBERT,04 73 82 14 38,Ce.0631153L@ac-clermont.fr,Mr MOLLE Frédéric,364,2021/2022,63003,"3,749587","45,540284",01/09/2021,01/07/2022,927,6302,AMBERT,200070761,Ambert Livradois Forez,2021,595
0630058W,Public,Collège du Val d'Ance,Grand'Rue - 63660 SAINT ANTHEME,63660,SAINT-ANTHEME,04 73 95 41 01,Ce.0630058W@ac-clermont.fr,M SZCZEPAN Jacques,77,2021/2022,63319,"3,918553","45,527193",01/09/2021,01/07/2022,927,6302,AMBERT,200070761,Ambert Livradois Forez,2021,596
0630047J,Public,Collège Pierre Gironnet,"3, place des Baladins - 63380 PONTAUMUR",63380,PONTAUMUR,04 73 79 90 24,Ce.0630047J@ac-clermont.fr,Mme GRIMAL Emmanuelle,165,2021/2022,63283,"2,67319","45,866493",01/09/2021,01/07/2022,927,6328,SAINT-OURS,200071215,Chavanon Combrailles et Volcans,2021,597
0630045G,Public,Collège Alexandre Varenne,Route d'Augerolles - 63880 OLLIERGUES,63880,OLLIERGUES,04 73 95 50 50,Ce.0630045G@ac-clermont.fr,Plus de poste de Principal,68,2021/2022,63258,"3,639703","45,676069",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070761,Ambert Livradois Forez,2021,598
0630063B,Public,Collège Henri Pourrat,"1 bis, rue F. Brunmurol - 63122 CEYRAT",63122,CEYRAT,04 73 61 42 76,Ce.0630063B@ac-clermont.fr,Mme LAVAL Françoise,533,2021/2022,63070,"3,064979","45,734067",01/09/2021,01/07/2022,927,6304,BEAUMONT,246300701,Clermont Auvergne Métropole,2021,599
0631479R,Public,Collège Jean Rostand,Rue Jean Zay - 63730 LES MARTRES DE VEYRE,63730,LES MARTRES-DE-VEYRE,04 73 39 93 66,Ce.0631479R@ac-clermont.fr,Mme HUSAR Valérie,768,2021/2022,63214,"3,197617","45,694319",01/09/2021,01/07/2022,927,6321,LES MARTRES-DE-VEYRE,200069177,Mond'Arverne Communauté,2021,600
0630039A,Public,Collège Louise Michel,Route de Vichy - 63350 MARINGUES,63350,MARINGUES,04 73 68 70 82,Ce.0630039A@ac-clermont.fr,Mme DUCEPTClaudie,472,2021/2022,63210,"3,337757","45,927016",01/09/2021,01/07/2022,927,6320,MARINGUES,200071199,Plaine Limagne,2021,601
0630008S,Public,Collège du Pavin,Rue des Prés de la Ville - 63610 BESSE,63610,BESSE-ET-SAINT-ANASTAISE,04 73 79 52 74,Ce.0630008S@ac-clermont.fr,Mme Christelle BADAUD-LACHAUD,231,2021/2022,63038,"2,937317","45,512531",01/09/2021,01/07/2022,927,6329,LE SANCY,246300966,Massif du Sancy,2021,602
0630036X,Public,Collège Sancy Artense,Esplanade Marthe Guillaume - 63680 LA TOUR D'AUVERGNE,63680,LA TOUR-D'AUVERGNE,04 73 21 50 49,Ce.0630036X@ac-clermont.fr,Mme MAITRE Pascale,116,2021/2022,63192,"2,687961","45,534639",01/09/2021,01/07/2022,927,6329,LE SANCY,200069169,Dômes Sancy Artense,2021,603
0631448G,Public,Collège Verrière,"25, boulevard Pasteur - 63500 ISSOIRE",63500,ISSOIRE,04 73 89 31 27,Ce.0631448G@ac-clermont.fr,Mr LASSALAS Franck,384,2021/2022,63178,"3,247562","45,549939",01/09/2021,01/07/2022,927,6318,ISSOIRE,200070407,Agglo Pays d'Issoire,2021,604
0631604B,Public,Collège Les Prés,"10, avenue Antonin Gaillard - 63500 ISSOIRE",63500,ISSOIRE,04 73 89 21 39,Ce.0631604B@ac-clermont.fr,M CHABAUD Emmanuel,694,2021/2022,63178,"3,259752","45,546014",01/09/2021,01/07/2022,927,6318,ISSOIRE,200070407,Agglo Pays d'Issoire,2021,605
0630057V,Public,Collège Alexandre Vialatte,"12, place Saint Martin 63890 SAINT AMANT ROCHE SAVINE",63890,SAINT-AMANT-ROCHE-SAVINE,04 73 95 71 16,Ce.0630057V@ac-clermont.fr,Plus de poste de Principal,24,2021/2022,63314,"3,633241","45,574479",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070761,Ambert Livradois Forez,2021,606
0631762Y,Public,Collège La Durolle,"6, rue des Sports - 63650 LA MONNERIE",63650,LA MONNERIE-LE-MONTEL,04 73 51 46 22,Ce.0631762Y@ac-clermont.fr,Mme PUPION Mylène,306,2021/2022,63231,"3,597746","45,872419",01/09/2021,01/07/2022,927,6330,THIERS,200070712,Thiers Dore et Montagne,2021,607
0631412T,Public,Collège Antoine de Saint Exupéry,Rue des Gargailles - B.P. 7 - 63370 LEMPDES,63370,LEMPDES,04 73 61 59 00,Ce.0631412T@ac-clermont.fr,M. BINOT Jean-Etienne,662,2021/2022,63193,"3,187267","45,770739",01/09/2021,01/07/2022,927,6324,PONT-DU-CHATEAU,246300701,Clermont Auvergne Métropole,2021,608
0630031S,Public,Collège Lucien Gachon,Rue de Bourgeallat - 63590 CUNLHAT,63590,CUNLHAT,04 73 72 23 16,Ce.0630031S@ac-clermont.fr,Mme GESTONE Isabelle,79,2021/2022,63132,"3,559814","45,630277",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070761,Ambert Livradois Forez,2021,609
0631481T,Public,Collège G. Onslow,"26, Chemin des Charretiers - 63190 LEZOUX",63190,LEZOUX,04 73 73 12 28,Ce.0631481T@ac-clermont.fr,Mme CHABAUD Sylvie,669,2021/2022,63195,"3,393957","45,835721",01/09/2021,01/07/2022,927,6319,LEZOUX,246301097,Entre Dore et Allier,2021,611
0630006P,Public,Collège Jean Auguste Senèze,"74, Route Nationale- 63220 ARLANC",63220,ARLANC,04 73 95 00 94,Ce.0630006P@ac-clermont.fr,Mme DAUPHIN Sylviane,115,2021/2022,63010,"3,723832","45,416477",01/09/2021,01/07/2022,927,6302,AMBERT,200070761,Ambert Livradois Forez,2021,612
0630916D,Public,Collège Mortaix,"7, chemin Sainte Marcelle - 63430 PONT DU CHATEAU",63430,PONT-DU-CHATEAU,04 73 83 22 69,Ce.0630916D@ac-clermont.fr,M PELOUX Thierry,628,2021/2022,63284,"3,257317","45,792132",01/09/2021,01/07/2022,927,6324,PONT-DU-CHATEAU,246300701,Clermont Auvergne Métropole,2021,613
0630049L,Public,Collège Anna Garcin-Mayade,Rue du Colonel Gaspard - 63230 PONTGIBAUD,63230,PONTGIBAUD,04 73 88 70 55,Ce.0630049L@ac-clermont.fr,M. TAMIN Pascal,333,2021/2022,63285,"2,859229","45,829836",01/09/2021,01/07/2022,927,6328,SAINT-OURS,200071215,Chavanon Combrailles et Volcans,2021,614
0630009T,Public,Collège du Beffroi,Boulevard de la Porte Neuve - 63160 BILLOM,63160,BILLOM,04 73 68 40 21,Ce.0630009T@ac-clermont.fr,Mme PAGE Cécile,797,2021/2022,63040,"3,338993","45,720616",01/09/2021,01/07/2022,927,6305,BILLOM,200067627,Billom Communauté,2021,615
0630010U,Public,Collège Marcel Bony,Le Pessy - 63150 MURAT LE QUAIRE,63150,MURAT-LE-QUAIRE,04 73 81 06 44,Ce.0630010U@ac-clermont.fr,Mme VEYSSIERE Véronique,159,2021/2022,63246,"2,744991","45,594171",01/09/2021,01/07/2022,927,6329,LE SANCY,246300966,Massif du Sancy,2021,616
0631482U,Public,Collège des Ancizes,Rue du Collège - 63770 LES ANCIZES,63770,LES ANCIZES-COMPS,04 73 86 81 26,Ce.0631482U@ac-clermont.fr,Mr Didier COZMESCO,221,2021/2022,63004,"2,829271","45,929522",01/09/2021,01/07/2022,927,6327,SAINT-GEORGES-DE-MONS,200072098,Combrailles Sioule et Morge,2021,617
0630065D,Public,Collège B. Bascoulergue,Chemin des Ecoliers-  63390 SAINT-GERVAIS D'AUVERGNE,63390,SAINT-GERVAIS-D'AUVERGNE,04 73 85 72 56,Ce.0630065D@ac-clermont.fr,Mme CHAPUT Agnès,136,2021/2022,63354,"2,814144","46,029694",01/09/2021,01/07/2022,927,6326,SAINT-ELOY-LES-MINES,200072080,Pays de Saint-Eloy,2021,619
0631735U,Privé,Collège Sainte-Marie,"3, place Marinette Menut RIOM",63200,RIOM,04 73 38 02 23,ce.0631735U@ac-clermont.fr,M. THEBAUD Yann,521,2021/2022,63300,"3,10812","45,892917",01/09/2021,01/07/2022,927,6325,RIOM,200070753,Riom Limagne et Volcans,2021,585
0630017B,Public,Collège de Chatelguyon,Boulevard Clémentel - BP 52 - 63140 CHATEL GUYON,63140,CHATELGUYON,04 73 86 01 00,Ce.0630017B@ac-clermont.fr,M. DURAND Thierry,530,2021/2022,63103,"3,070497","45,921919",01/09/2021,01/07/2022,927,6309,CHATELGUYON,200070753,Riom Limagne et Volcans,2021,610
0631101E,Privé,Collège privé Saint Joseph,47 rue du Docteur Chambige Pont-du-Château,63430,PONT-DU-CHATEAU,04 73 83 21 09,ce.0631101E@ac-clermont.fr,M PERSEHAYE Thierry,277,2021/2022,63284,"3,246841","45,796436",01/09/2021,01/07/2022,927,6324,PONT-DU-CHATEAU,246300701,Clermont Auvergne Métropole,2021,561
0631081H,Privé,Collège Saint-Joseph,"17, avenue du Mont-Mouchet AUBIERE",63170,AUBIERE,04 73 26 03 33,ce.0631081H@ac-clermont.fr,M. RIQUE Thierry,233,2021/2022,63014,"3,106596","45,749529",01/09/2021,01/07/2022,927,6303,AUBIERE,246300701,Clermont Auvergne Métropole,2021,581
0630011V,Public,Collège Willy Mabrut,"10, route de Clermont - 63760 BOURG LASTIC",63760,BOURG-LASTIC,04 73 21 82 10,Ce.0630011V@ac-clermont.fr,Mr COHADE Arnaud,90,2021/2022,63048,"2,558822","45,647461",01/09/2021,01/07/2022,927,6328,SAINT-OURS,200071215,Chavanon Combrailles et Volcans,2021,618
0631084L,Privé,Collège Saint-Louis,6 rue de l'Hôpital,63260,AIGUEPERSE,04 73 63 60 82,ce.0631084L@ac-clermont.fr,Mme GAMEZ Sandrine,72,2021/2022,63001,"3,202414","46,023483",01/09/2021,01/07/2022,927,6301,AIGUEPERSE,200071199,Plaine Limagne,2021,563
0630046H,Public,Collège Nestor Perret,Impasse Schoelcher - 63330 PIONSAT,63330,PIONSAT,04 73 85 65 08,Ce.0630046H@ac-clermont.fr,Mme CARNET Annick,63,2021/2022,63281,"2,69384","46,110614",01/09/2021,01/07/2022,927,6326,SAINT-ELOY-LES-MINES,200072080,Pays de Saint-Eloy,2021,620
0630079U,Public,Collège Diderot,Route de Montpensier - 63260 AIGUEPERSE,63260,AIGUEPERSE,04 73 63 66 95,Ce.0630079U@ac-clermont.fr,M FERRAZ Christian,731,2021/2022,63001,"3,211103","46,02894",01/09/2021,01/07/2022,927,6301,AIGUEPERSE,200071199,Plaine Limagne,2021,621
0630072L,Public,Collège de la Comté,"179, place de la Molière - 63270 VIC LE COMTE",63270,VIC-LE-COMTE,04 73 69 02 11,Ce.0630072L@ac-clermont.fr,Mme RIFFARD Véronique,437,2021/2022,63457,"3,238289","45,644539",01/09/2021,01/07/2022,927,6331,VIC-LE-COMTE,200069177,Mond'Arverne Communauté,2021,622
0631238D,Public,Collège Audembron,Cité du Pontel - 63300 THIERS,63300,THIERS,04 73 80 06 36,Ce.0631238D@ac-clermont.fr,M BES Dominique,671,2021/2022,63430,"3,536787","45,861137",01/09/2021,01/07/2022,927,6330,THIERS,200070712,Thiers Dore et Montagne,2021,623
0631121B,Public,Collège Jean Vilar,"1, avenue du 19 mars 1962 - 63200 RIOM",63200,RIOM,04 73 38 30 50,Ce.0631121B@ac-clermont.fr,Mme THEIL Emmanuelle,564,2021/2022,63300,"3,130875","45,885685",01/09/2021,01/07/2022,927,6325,RIOM,200070753,Riom Limagne et Volcans,2021,547
0631502R,Public,Collège Charles Baudelaire,"32, rue Baudelaire - 63000 CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 26 56 95,Ce.0631502R@ac-clermont.fr,Mme COUTARD Agnès,418,2021/2022,63113,"3,094569","45,759074",01/09/2021,01/07/2022,927,6312,CLERMONT-FERRAND 3,246300701,Clermont Auvergne Métropole,2021,548
0631410R,Public,Collège Jeanne d'Arc,"40, avenue de Grande Bretagne - 63000 CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 92 66 10,Ce.0631410R@ac-clermont.fr,Mme PERARD Valérie,686,2021/2022,63113,"3,094349","45,777036",01/09/2021,01/07/2022,927,6315,CLERMONT-FERRAND 6,246300701,Clermont Auvergne Métropole,2021,549
0631126G,Public,Collège Lucie Aubrac,Rue Clovis Hugues - 63000 CLERMONT-FERRAND,63000,CLERMONT-FERRAND,04 73 42 30 50,Ce.0631126G@ac-clermont.fr,M. BAUDOT Romain,545,2021/2022,63113,"3,109291","45,771396",01/09/2021,01/07/2022,927,6311,CLERMONT-FERRAND 2,246300701,Clermont Auvergne Métropole,2021,550
0631411S,Public,Collège Blaise Pascal,"36, avenue Carnot - 63000 CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 98 26 50,Ce.0631411S@ac-clermont.fr,Mme FALIBARON Muriel,485,2021/2022,63113,"3,094192","45,775726",01/09/2021,01/07/2022,927,6315,CLERMONT-FERRAND 6,246300701,Clermont Auvergne Métropole,2021,551
0631120A,Public,Collège Gérard Philipe,"19, rue François Taravant - 63000 CLERMONT-FERRAND",63100,CLERMONT-FERRAND,04 73 16 22 30,Ce.0631120A@ac-clermont.fr,Mr Yan ZIGMUNT,429,2021/2022,63113,"3,115036","45,797132",01/09/2021,01/07/2022,927,6311,CLERMONT-FERRAND 2,246300701,Clermont Auvergne Métropole,2021,552
0631199L,Public,Collège La Charme,"4, rue de la Charme - 63000 CLERMONT-FERRAND",63100,CLERMONT-FERRAND,04 73 24 11 00,Ce.0631199L@ac-clermont.fr,Mme Emmanuelle HUGOT,492,2021/2022,63113,"3,120039","45,797726",01/09/2021,01/07/2022,927,6310,CLERMONT-FERRAND 1,246300701,Clermont Auvergne Métropole,2021,553
0631773K,Public,Collège Roger Quilliot,Rue Jean Monnet - 63000 CLERMONT-FERRAND,63100,CLERMONT-FERRAND,04 73 19 27 50,Ce.0631773K@ac-clermont.fr,Mr MORGES Christophe,600,2021/2022,63113,"3,069595","45,792545",01/09/2021,01/07/2022,927,6315,CLERMONT-FERRAND 6,246300701,Clermont Auvergne Métropole,2021,554
0631522M,Public,Collège Albert Camus,"1, rue du Sous-Marin Casabianca 63000 CLERMONT-FERRAND",63100,CLERMONT-FERRAND,04 73 24 36 73,Ce.0631522M@ac-clermont.fr,Mr SLUSARCZYK Bernard,550,2021/2022,63113,"3,107662","45,807712",01/09/2021,01/07/2022,927,6310,CLERMONT-FERRAND 1,246300701,Clermont Auvergne Métropole,2021,555
0631109N,Privé,Collège Jeanne d'Arc,"2, rue des Brandes SAINT-ELOY-LES-MINES",63700,SAINT-ELOY-LES-MINES,04 73 85 02 08,ce.0631109N@ac-clermont.fr,Mme RENAUD Anne,71,2021/2022,63338,"2,829579","46,162946",01/09/2021,01/07/2022,927,6326,SAINT-ELOY-LES-MINES,200072080,Pays de Saint-Eloy,2021,556
0631115V,Privé,Collège Sainte-Agnès,"4, rue du Pont Chaput VOLVIC",63530,VOLVIC,04 73 33 51 68,ce.0631115V@ac-clermont.fr,M CIA Emmanuel,116,2021/2022,63470,"3,040521","45,870977",01/09/2021,01/07/2022,927,6309,CHATELGUYON,200070753,Riom Limagne et Volcans,2021,557
0631083K,Privé,Collège Saint-Joseph,"32, avenue Emmanuel Chabrier AMBERT",63600,AMBERT,04 73 82 02 47,ce.0631083K@ac-clermont.fr,Mme BRUN Christine,131,2021/2022,63003,"3,738302","45,546688",01/09/2021,01/07/2022,927,6302,AMBERT,200070761,Ambert Livradois Forez,2021,558
0631097A,Privé,Collège Saint-Joseph,"7, rue du Baraban MARINGUES",63350,MARINGUES,04 73 68 71 28,ce.0631097A@ac-clermont.fr,M. RABERIN Jean-Philippe,107,2021/2022,63210,"3,332057","45,922106",01/09/2021,01/07/2022,927,6320,MARINGUES,200071199,Plaine Limagne,2021,559
0631734T,Privé,Collège Sévigné-Saint-Louis,"2, avenue de la Libération ISSOIRE",63500,ISSOIRE,04 73 89 18 95,ce.0631734T@ac-clermont.fr,M. VERAY Christophe,532,2021/2022,63178,"3,247747","45,540643",01/09/2021,01/07/2022,927,6318,ISSOIRE,200070407,Agglo Pays d'Issoire,2021,560
0631080G,Privé,Collège Notre-Dame,"6, place des Ecoles BILLOM",63160,BILLOM,04 73 68 40 26,ce.0631080G@ac-clermont.fr,M. DECHAVANNE Philippe,221,2021/2022,63040,"3,336555","45,7222",01/09/2021,01/07/2022,927,6305,BILLOM,200067627,Billom Communauté,2021,562
0631111R,Privé,Collège Saint-Joseph,"13, rue Principale SAINT-SATURNIN",63450,SAINT-SATURNIN,04 73 39 30 19,ce.0631111R@ac-clermont.fr,Mme Marie-Dominique DEBOU-CHUPIN,223,2021/2022,63396,"3,093232","45,661961",01/09/2021,01/07/2022,927,6323,ORCINES,200069177,Mond'Arverne Communauté,2021,564
0631451K,Public,Collège I. et F. Joliot Curie,Avenue Charles de Gaulle - 63170 AUBIERE,63170,AUBIERE,04 73 26 02 25,Ce.0631451K@ac-clermont.fr,Mr COMMEAU Richard,858,2021/2022,63014,"3,119102","45,751291",01/09/2021,01/07/2022,927,6303,AUBIERE,246300701,Clermont Auvergne Métropole,2021,565
0630007R,Public,Collège Molière,"52, rue Molière - 63110 BEAUMONT",63110,BEAUMONT,04 73 27 50 94,Ce.0630007R@ac-clermont.fr,M. MARION Gilles,557,2021/2022,63032,"3,097678","45,750361",01/09/2021,01/07/2022,927,6304,BEAUMONT,246300701,Clermont Auvergne Métropole,2021,566
0630059X,Public,Collège François Villon,1 Place de l'Eglise - 63520 SAINT-DIER D'AUVERGNE,63520,SAINT-DIER-D'AUVERGNE,04 73 70 81 89,Ce.0630059X@ac-clermont.fr,M RODIER Sébastien,155,2021/2022,63334,"3,483069","45,676489",01/09/2021,01/07/2022,927,6305,BILLOM,200067627,Billom Communauté,2021,567
0630028N,Public,Collège Marc Bloch,"20, avenue de la Libération - 63800 COURNON",63800,COURNON-D'AUVERGNE,04 73 84 20 50,Ce.0630028N@ac-clermont.fr,Mme PLANCHETTE Nadine,708,2021/2022,63124,"3,191293","45,736945",01/09/2021,01/07/2022,927,6316,COURNON-D'AUVERGNE,246300701,Clermont Auvergne Métropole,2021,568
0631688T,Public,Collège La Ribeyre,Boulevard Pasteur - 63800 COURNON,63800,COURNON-D'AUVERGNE,04 73 84 44 24,Ce.0631688T@ac-clermont.fr,Mme Sandrine MOURIER-STOPPAR,702,2021/2022,63124,"3,204253","45,727528",01/09/2021,01/07/2022,927,6316,COURNON-D'AUVERGNE,246300701,Clermont Auvergne Métropole,2021,569
0631125F,Public,Collège Teilhard de Chardin,"12, avenue de Villars - BP 29 - 63400 CHAMALIERES",63400,CHAMALIERES,04 73 37 75 04,Ce.0631125F@ac-clermont.fr,M. GROSLAMBERT Patrick,757,2021/2022,63075,"3,061048","45,777038",01/09/2021,01/07/2022,927,6308,CHAMALIERES,246300701,Clermont Auvergne Métropole,2021,570
