tout_moment,variete,comment,sucre,forme,type,sexe,CSP,sportif,age,frequence,plus_pour_la_sante
0,parfumé,pur,0,sachet+vrac,variable,F,cadre moyen,1,21,+ de 2/jour,1
0,noir,pur,0,sachet,variable,F,non actif,0,75,1 à 2/sem,0
0,parfumé,pur,1,sachet,variable,F,non actif,0,37,+ de 2/jour,1
1,parfumé,pur,0,vrac,haude_gamme,F,cadre moyen,1,32,+ de 2/jour,1
0,parfumé,citron,1,sachet+vrac,variable,F,cadre moyen,0,32,1/jour,0
0,parfumé,pur,1,sachet+vrac,variable,F,cadre moyen,0,38,3 à 6/sem,0
0,noir,pur,0,sachet,MDD,F,non actif,0,50,3 à 6/sem,1
1,noir,citron,0,sachet+vrac,haude_gamme,F,employé,1,26,1/jour,1
0,parfumé,lait,1,sachet,variable,H,cadre sup,0,39,1/jour,0
0,vert,pur,0,sachet+vrac,marque_connue,F,étudiant,1,17,1/jour,0
0,vert,pur,0,sachet,marque_connue,F,non actif,0,45,+ de 2/jour,1
1,parfumé,lait,0,sachet,marque_connue,F,cadre moyen,0,36,+ de 2/jour,1
0,vert,pur,0,sachet+vrac,marque_connue,F,cadre moyen,0,37,3 à 6/sem,1
0,parfumé,pur,1,sachet,marque_connue,F,non actif,0,71,+ de 2/jour,1
0,vert,pur,0,sachet,MDD,F,autre actif,1,48,+ de 2/jour,1
0,parfumé,lait,0,sachet,marque_connue,F,étudiant,0,23,1/jour,1
0,noir,autre,0,sachet,variable,F,non actif,0,70,+ de 2/jour,1
0,parfumé,pur,0,sachet,variable,F,étudiant,1,19,3 à 6/sem,1
1,parfumé,lait,1,sachet,variable,F,étudiant,1,25,1/jour,1
0,parfumé,pur,1,sachet,inconnu,F,étudiant,0,22,1 à 2/sem,1
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,1,22,1 à 2/sem,1
0,parfumé,pur,0,sachet+vrac,MDD,F,employé,0,34,1/jour,0
0,noir,pur,0,sachet+vrac,haude_gamme,F,étudiant,1,23,+ de 2/jour,0
0,parfumé,pur,1,sachet+vrac,variable,F,employé,1,21,1/jour,1
1,noir,pur,1,sachet+vrac,haude_gamme,F,employé,1,37,1 à 2/sem,0
0,parfumé,pur,0,vrac,haude_gamme,F,non actif,1,40,3 à 6/sem,0
0,parfumé,pur,1,sachet,haude_gamme,F,étudiant,1,18,1 à 2/sem,1
1,vert,lait,1,sachet,marque_connue,F,employé,1,18,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,cadre moyen,1,56,3 à 6/sem,0
0,vert,pur,0,sachet,variable,F,autre actif,0,34,1/jour,1
0,parfumé,lait,1,sachet+vrac,variable,H,autre actif,1,32,+ de 2/jour,1
0,vert,citron,1,sachet+vrac,variable,F,cadre sup,0,60,3 à 6/sem,1
0,noir,pur,0,sachet+vrac,marque_connue,F,non actif,1,66,+ de 2/jour,1
0,parfumé,pur,0,sachet+vrac,variable,F,cadre sup,1,49,3 à 6/sem,0
1,parfumé,pur,0,vrac,marque_connue,F,étudiant,0,28,+ de 2/jour,1
0,parfumé,pur,0,sachet,variable,F,non actif,0,22,1/jour,1
1,noir,pur,0,sachet,variable,F,cadre moyen,0,35,+ de 2/jour,1
0,parfumé,pur,1,sachet+vrac,variable,F,employé,1,25,1 à 2/sem,1
0,noir,autre,0,sachet+vrac,haude_gamme,F,non actif,1,62,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,non actif,0,57,+ de 2/jour,1
0,parfumé,citron,1,sachet+vrac,variable,F,étudiant,1,20,3 à 6/sem,1
0,parfumé,citron,0,sachet,variable,F,étudiant,1,22,1/jour,0
0,parfumé,pur,1,sachet,marque_connue,F,employé,1,36,1/jour,0
0,parfumé,pur,1,sachet,variable,H,étudiant,0,19,1 à 2/sem,0
1,parfumé,lait,1,sachet+vrac,variable,H,employé,1,24,+ de 2/jour,1
1,parfumé,lait,1,sachet,variable,H,étudiant,1,22,1 à 2/sem,1
0,parfumé,citron,1,vrac,haude_gamme,H,cadre moyen,1,28,1/jour,0
1,noir,lait,1,sachet,MDD,H,étudiant,1,18,+ de 2/jour,1
0,parfumé,lait,1,sachet,marque_connue,F,cadre moyen,1,34,1/jour,0
0,parfumé,pur,0,sachet,marque_connue,F,employé,1,51,1/jour,0
0,parfumé,lait,0,sachet+vrac,marque_connue,F,employé,1,55,+ de 2/jour,1
0,parfumé,pur,1,sachet,variable,F,non actif,1,76,1/jour,1
0,parfumé,pur,0,sachet+vrac,marque_connue,F,étudiant,1,22,1/jour,1
1,noir,pur,0,sachet,haude_gamme,F,cadre moyen,1,50,+ de 2/jour,1
0,parfumé,pur,1,vrac,MDD,F,étudiant,1,25,1 à 2/sem,0
1,parfumé,lait,1,sachet,haude_gamme,F,autre actif,1,44,1/jour,1
0,parfumé,pur,0,sachet,variable,F,étudiant,0,19,3 à 6/sem,0
0,parfumé,citron,1,sachet,MDD,F,étudiant,1,20,3 à 6/sem,0
1,parfumé,lait,1,sachet,inconnu,F,étudiant,1,19,3 à 6/sem,1
1,parfumé,pur,1,sachet+vrac,haude_gamme,F,étudiant,1,19,+ de 2/jour,1
1,parfumé,lait,1,sachet,MDD,F,étudiant,0,17,1 à 2/sem,1
1,parfumé,lait,0,sachet,variable,H,cadre sup,1,51,1/jour,1
1,parfumé,pur,1,sachet+vrac,inconnu,H,cadre sup,1,50,1 à 2/sem,0
0,noir,lait,1,sachet+vrac,marque_connue,H,étudiant,1,20,1/jour,1
0,parfumé,pur,1,sachet+vrac,variable,H,cadre sup,1,25,1 à 2/sem,0
1,noir,lait,0,sachet,haude_gamme,H,non actif,0,78,+ de 2/jour,1
0,parfumé,pur,0,vrac,haude_gamme,H,cadre sup,1,49,1 à 2/sem,0
1,parfumé,pur,1,vrac,haude_gamme,H,autre actif,0,42,1 à 2/sem,1
0,noir,lait,1,sachet+vrac,variable,H,autre actif,1,32,+ de 2/jour,1
0,parfumé,lait,1,sachet,marque_connue,H,employé,1,20,1/jour,1
0,parfumé,pur,0,sachet,variable,H,cadre moyen,0,35,+ de 2/jour,1
0,noir,lait,1,sachet+vrac,variable,H,cadre sup,1,33,+ de 2/jour,1
0,parfumé,pur,0,vrac,haude_gamme,H,cadre sup,0,56,1/jour,1
0,parfumé,pur,1,sachet,variable,F,non actif,1,33,+ de 2/jour,0
0,vert,pur,1,sachet+vrac,marque_connue,H,non actif,1,29,1/jour,1
1,parfumé,lait,1,sachet+vrac,marque_connue,F,cadre moyen,0,43,+ de 2/jour,1
1,parfumé,lait,1,sachet,marque_connue,F,étudiant,1,22,+ de 2/jour,0
1,parfumé,pur,1,sachet,bas_de_gamme,F,employé,0,20,+ de 2/jour,1
0,parfumé,pur,1,sachet,marque_connue,H,étudiant,0,27,+ de 2/jour,0
0,parfumé,pur,1,sachet,marque_connue,F,étudiant,0,22,+ de 2/jour,0
1,parfumé,pur,1,sachet+vrac,marque_connue,F,étudiant,0,23,1/jour,1
0,parfumé,pur,0,sachet,marque_connue,F,ouvrier,1,46,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,cadre sup,1,35,+ de 2/jour,1
0,parfumé,citron,0,sachet,marque_connue,F,autre actif,0,28,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,0,20,+ de 2/jour,1
0,parfumé,pur,1,sachet,haude_gamme,H,non actif,0,71,1/jour,0
0,parfumé,pur,1,sachet,MDD,H,cadre moyen,0,28,+ de 2/jour,0
0,parfumé,pur,1,sachet,marque_connue,F,étudiant,1,23,+ de 2/jour,0
0,parfumé,pur,0,sachet,inconnu,F,employé,0,21,1/jour,0
0,parfumé,citron,1,sachet,marque_connue,H,autre actif,0,19,1 à 2/sem,0
0,parfumé,pur,1,sachet,variable,H,employé,1,27,1/jour,1
1,parfumé,pur,0,sachet+vrac,marque_connue,H,étudiant,0,25,+ de 2/jour,1
0,parfumé,pur,0,sachet,haude_gamme,F,non actif,1,71,1/jour,1
0,parfumé,pur,0,sachet,marque_connue,F,étudiant,1,21,1/jour,1
1,parfumé,citron,1,sachet+vrac,marque_connue,F,employé,0,23,+ de 2/jour,1
1,parfumé,pur,1,sachet,marque_connue,H,étudiant,1,22,3 à 6/sem,0
1,parfumé,pur,1,sachet,marque_connue,H,non actif,0,22,1 à 2/sem,1
0,parfumé,lait,1,sachet,marque_connue,F,étudiant,0,23,+ de 2/jour,0
0,parfumé,pur,1,sachet,MDD,F,étudiant,1,21,1 à 2/sem,0
0,noir,autre,0,sachet+vrac,variable,F,cadre sup,0,42,+ de 2/jour,1
0,noir,pur,0,sachet+vrac,MDD,F,employé,0,23,1/jour,1
0,parfumé,pur,0,sachet,marque_connue,F,employé,0,52,1/jour,1
1,parfumé,lait,0,sachet,marque_connue,H,cadre sup,0,54,1 à 2/sem,0
1,parfumé,pur,0,sachet,marque_connue,F,employé,0,33,1/jour,1
1,noir,pur,0,sachet,marque_connue,H,cadre sup,0,37,1/jour,1
1,parfumé,citron,1,sachet+vrac,variable,H,étudiant,1,29,1/jour,1
1,noir,citron,1,sachet,MDD,H,non actif,0,66,3 à 6/sem,1
1,noir,autre,0,sachet,marque_connue,F,cadre moyen,1,47,+ de 2/jour,1
0,parfumé,citron,1,sachet,marque_connue,F,employé,0,45,+ de 2/jour,1
0,parfumé,citron,1,sachet,MDD,F,employé,0,54,1/jour,1
1,parfumé,pur,0,sachet,variable,F,étudiant,1,19,+ de 2/jour,1
1,parfumé,pur,0,sachet,marque_connue,F,étudiant,1,17,1 à 2/sem,1
1,parfumé,pur,0,sachet,marque_connue,F,étudiant,1,18,1 à 2/sem,1
0,parfumé,lait,1,sachet,marque_connue,F,non actif,0,79,1/jour,1
1,parfumé,pur,1,sachet,marque_connue,H,cadre sup,1,48,1/jour,1
1,parfumé,pur,1,sachet,variable,H,étudiant,1,26,1/jour,0
1,parfumé,pur,0,sachet,marque_connue,F,cadre moyen,1,47,3 à 6/sem,1
0,parfumé,lait,1,sachet,variable,H,ouvrier,1,30,1/jour,1
1,parfumé,pur,1,sachet,marque_connue,H,non actif,0,24,3 à 6/sem,0
1,parfumé,pur,0,sachet,marque_connue,F,employé,0,29,+ de 2/jour,1
1,noir,autre,1,sachet,haude_gamme,H,non actif,0,72,3 à 6/sem,1
0,parfumé,citron,1,sachet,inconnu,H,ouvrier,0,41,1/jour,1
1,parfumé,pur,1,sachet,MDD,H,étudiant,1,18,+ de 2/jour,1
0,noir,pur,0,sachet+vrac,bas_de_gamme,F,étudiant,1,19,+ de 2/jour,0
0,parfumé,pur,0,sachet,marque_connue,F,employé,0,55,3 à 6/sem,0
0,noir,pur,0,vrac,bas_de_gamme,F,cadre moyen,1,47,+ de 2/jour,1
0,vert,pur,0,sachet,marque_connue,F,cadre moyen,0,49,1/jour,1
1,parfumé,pur,1,sachet,marque_connue,F,employé,1,30,+ de 2/jour,1
0,noir,lait,0,sachet,bas_de_gamme,F,autre actif,1,45,1/jour,0
1,parfumé,pur,1,sachet,MDD,F,ouvrier,1,22,+ de 2/jour,0
1,parfumé,pur,1,sachet,marque_connue,F,non actif,0,18,1 à 2/sem,1
0,noir,lait,0,vrac,marque_connue,F,non actif,0,36,3 à 6/sem,0
0,noir,pur,0,sachet,marque_connue,F,non actif,0,75,3 à 6/sem,1
0,noir,pur,1,vrac,marque_connue,F,non actif,1,19,+ de 2/jour,0
0,noir,pur,0,sachet,marque_connue,F,employé,0,50,+ de 2/jour,1
0,vert,pur,0,sachet+vrac,marque_connue,F,non actif,0,60,1/jour,1
0,noir,pur,0,sachet+vrac,marque_connue,F,employé,1,21,1/jour,1
1,vert,pur,0,vrac,haude_gamme,F,employé,1,45,+ de 2/jour,1
0,parfumé,pur,0,sachet,marque_connue,F,non actif,0,45,1/jour,0
0,vert,pur,0,sachet,marque_connue,F,non actif,0,75,+ de 2/jour,1
1,noir,citron,0,vrac,haude_gamme,F,cadre sup,0,53,+ de 2/jour,0
0,parfumé,pur,1,sachet,variable,F,employé,0,25,1 à 2/sem,1
0,parfumé,pur,1,sachet,variable,F,étudiant,1,20,+ de 2/jour,1
1,parfumé,pur,1,vrac,haude_gamme,F,étudiant,1,20,+ de 2/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,cadre moyen,1,30,+ de 2/jour,1
0,noir,pur,0,sachet+vrac,haude_gamme,F,employé,0,51,+ de 2/jour,1
0,parfumé,pur,1,sachet,marque_connue,F,étudiant,0,18,+ de 2/jour,1
1,parfumé,pur,1,sachet,variable,F,non actif,0,27,1/jour,1
1,parfumé,pur,1,sachet,marque_connue,F,étudiant,1,22,+ de 2/jour,1
0,parfumé,pur,1,sachet,marque_connue,F,étudiant,1,22,+ de 2/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,1,15,+ de 2/jour,1
0,parfumé,citron,1,sachet,marque_connue,F,ouvrier,1,20,+ de 2/jour,1
1,vert,pur,1,sachet+vrac,marque_connue,F,étudiant,1,19,+ de 2/jour,1
0,noir,lait,1,sachet,inconnu,H,autre actif,1,45,1/jour,0
0,noir,pur,0,vrac,haude_gamme,H,cadre moyen,1,48,3 à 6/sem,1
0,noir,pur,0,sachet,MDD,H,cadre sup,1,35,1/jour,1
0,parfumé,lait,1,sachet,variable,H,cadre moyen,0,50,1/jour,0
1,parfumé,pur,1,sachet+vrac,variable,H,employé,1,25,+ de 2/jour,1
1,vert,pur,0,sachet,variable,H,non actif,0,69,1/jour,1
0,vert,pur,1,sachet,marque_connue,H,non actif,0,70,1/jour,1
0,vert,pur,1,sachet,marque_connue,H,ouvrier,1,40,1/jour,1
1,vert,pur,1,sachet+vrac,MDD,H,non actif,1,21,1 à 2/sem,1
1,vert,citron,1,vrac,haude_gamme,H,cadre moyen,0,26,+ de 2/jour,1
0,parfumé,pur,1,sachet+vrac,variable,H,ouvrier,1,25,3 à 6/sem,0
0,parfumé,pur,1,sachet+vrac,marque_connue,H,employé,1,26,+ de 2/jour,1
1,parfumé,pur,1,sachet,bas_de_gamme,H,ouvrier,0,23,1/jour,0
0,parfumé,pur,1,sachet+vrac,marque_connue,F,étudiant,0,22,1/jour,1
0,vert,pur,0,vrac,haude_gamme,H,autre actif,1,45,1/jour,1
1,noir,pur,0,vrac,variable,H,employé,0,36,+ de 2/jour,1
1,parfumé,citron,1,sachet,marque_connue,H,employé,1,27,1 à 2/sem,1
0,parfumé,pur,0,sachet,variable,H,ouvrier,1,18,1/jour,1
0,vert,pur,0,sachet,haude_gamme,H,non actif,1,61,+ de 2/jour,1
0,vert,pur,1,sachet,marque_connue,H,cadre moyen,1,56,1/jour,1
0,parfumé,citron,1,sachet+vrac,marque_connue,H,employé,0,25,1/jour,1
0,noir,pur,0,vrac,haude_gamme,H,cadre moyen,1,50,1 à 2/sem,1
0,parfumé,pur,1,sachet+vrac,haude_gamme,H,non actif,1,29,1/jour,1
0,parfumé,autre,1,sachet,marque_connue,H,employé,1,20,1 à 2/sem,1
0,vert,pur,0,sachet,marque_connue,H,autre actif,1,32,1/jour,0
0,noir,lait,0,vrac,haude_gamme,H,non actif,0,71,+ de 2/jour,1
0,noir,citron,0,sachet+vrac,variable,H,non actif,0,65,1/jour,1
1,noir,citron,1,vrac,haude_gamme,H,non actif,0,61,1 à 2/sem,0
0,vert,pur,1,vrac,variable,H,employé,0,27,3 à 6/sem,0
0,parfumé,pur,1,sachet,variable,H,employé,1,21,1/jour,1
0,noir,pur,1,vrac,haude_gamme,H,cadre sup,1,31,+ de 2/jour,1
1,vert,lait,0,sachet,haude_gamme,H,employé,1,30,1 à 2/sem,0
0,noir,pur,0,sachet,variable,H,étudiant,0,55,3 à 6/sem,0
0,parfumé,pur,1,sachet,variable,H,employé,1,19,+ de 2/jour,1
0,parfumé,citron,0,sachet,variable,H,non actif,1,26,+ de 2/jour,1
1,noir,lait,1,sachet,marque_connue,H,cadre sup,1,47,+ de 2/jour,1
0,noir,pur,0,sachet+vrac,variable,H,employé,1,28,1 à 2/sem,1
1,parfumé,pur,0,sachet,marque_connue,H,étudiant,1,23,+ de 2/jour,1
0,parfumé,lait,1,sachet,marque_connue,H,cadre moyen,1,22,1/jour,1
0,parfumé,citron,0,vrac,haude_gamme,H,non actif,1,70,1/jour,1
1,parfumé,citron,0,sachet+vrac,marque_connue,H,employé,1,27,+ de 2/jour,1
0,vert,pur,0,sachet+vrac,variable,H,ouvrier,0,27,1/jour,1
0,parfumé,pur,1,sachet,marque_connue,H,employé,1,23,3 à 6/sem,1
1,parfumé,citron,0,sachet+vrac,haude_gamme,H,cadre sup,1,45,+ de 2/jour,1
0,noir,lait,0,sachet+vrac,variable,H,cadre sup,0,29,1/jour,0
1,vert,pur,0,sachet,variable,F,employé,0,45,+ de 2/jour,1
0,vert,pur,0,sachet+vrac,haude_gamme,F,employé,0,25,+ de 2/jour,1
0,noir,pur,1,sachet,marque_connue,F,employé,0,37,1/jour,1
1,vert,pur,0,vrac,haude_gamme,F,étudiant,1,25,+ de 2/jour,1
0,parfumé,lait,0,sachet,marque_connue,F,non actif,0,41,1/jour,1
0,noir,pur,0,sachet+vrac,marque_connue,F,employé,1,45,1/jour,1
0,parfumé,pur,0,sachet,MDD,F,étudiant,1,15,1/jour,1
0,parfumé,pur,0,sachet+vrac,variable,F,cadre sup,1,25,1/jour,1
0,parfumé,lait,0,sachet+vrac,variable,F,non actif,1,51,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,employé,0,50,+ de 2/jour,1
0,parfumé,pur,0,sachet,variable,F,cadre sup,1,38,3 à 6/sem,1
0,parfumé,lait,1,sachet,marque_connue,F,employé,0,25,1 à 2/sem,0
0,parfumé,pur,1,vrac,variable,F,cadre moyen,1,49,1/jour,1
0,parfumé,citron,0,sachet,marque_connue,F,non actif,0,52,+ de 2/jour,1
1,parfumé,lait,0,sachet+vrac,haude_gamme,F,ouvrier,0,40,+ de 2/jour,1
0,parfumé,pur,1,sachet+vrac,haude_gamme,F,étudiant,1,23,1/jour,1
0,parfumé,lait,0,sachet+vrac,marque_connue,F,employé,0,54,1/jour,1
0,vert,lait,1,sachet+vrac,variable,F,non actif,1,26,+ de 2/jour,0
0,parfumé,citron,0,sachet+vrac,variable,F,non actif,0,21,+ de 2/jour,1
0,parfumé,pur,1,sachet,marque_connue,F,employé,1,21,+ de 2/jour,1
0,parfumé,lait,0,sachet+vrac,variable,F,cadre moyen,1,50,+ de 2/jour,1
1,noir,pur,0,sachet,marque_connue,F,employé,0,40,+ de 2/jour,1
1,parfumé,lait,1,vrac,haude_gamme,F,cadre moyen,0,40,1/jour,1
0,parfumé,pur,1,sachet+vrac,haude_gamme,F,étudiant,0,21,1/jour,0
0,parfumé,pur,0,sachet,marque_connue,F,employé,1,31,+ de 2/jour,1
1,parfumé,pur,1,sachet+vrac,variable,H,étudiant,1,21,+ de 2/jour,0
0,parfumé,citron,1,sachet+vrac,variable,F,employé,0,24,3 à 6/sem,0
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,0,20,+ de 2/jour,1
0,parfumé,pur,0,sachet,marque_connue,H,cadre moyen,1,34,1/jour,1
0,parfumé,pur,0,vrac,variable,H,cadre moyen,1,33,3 à 6/sem,0
0,noir,lait,0,sachet,marque_connue,H,employé,0,24,+ de 2/jour,1
0,noir,pur,1,sachet,marque_connue,H,étudiant,1,25,1/jour,1
0,vert,lait,1,sachet,MDD,H,cadre sup,0,48,1 à 2/sem,1
1,parfumé,pur,1,sachet+vrac,variable,H,cadre sup,1,26,+ de 2/jour,1
0,parfumé,pur,1,sachet+vrac,variable,H,étudiant,1,21,1 à 2/sem,1
0,noir,pur,1,vrac,marque_connue,H,ouvrier,1,30,+ de 2/jour,1
0,vert,pur,1,sachet,marque_connue,H,cadre sup,1,40,1 à 2/sem,1
0,noir,lait,0,sachet,inconnu,H,cadre moyen,0,57,+ de 2/jour,1
1,parfumé,pur,1,sachet+vrac,variable,H,employé,1,29,3 à 6/sem,1
1,parfumé,pur,0,sachet+vrac,variable,F,autre actif,0,36,+ de 2/jour,1
1,parfumé,pur,1,sachet+vrac,haude_gamme,H,étudiant,1,25,3 à 6/sem,0
1,noir,lait,0,sachet+vrac,variable,F,étudiant,1,21,+ de 2/jour,0
1,parfumé,pur,1,sachet+vrac,haude_gamme,F,cadre sup,1,24,+ de 2/jour,0
0,noir,pur,1,sachet+vrac,haude_gamme,H,employé,1,25,3 à 6/sem,0
0,parfumé,lait,0,sachet+vrac,variable,F,non actif,0,89,+ de 2/jour,0
0,noir,pur,1,vrac,variable,F,non actif,0,90,+ de 2/jour,0
0,noir,pur,0,vrac,variable,H,cadre moyen,1,27,1 à 2/sem,0
1,parfumé,autre,1,sachet+vrac,variable,F,autre actif,0,42,+ de 2/jour,1
0,parfumé,autre,1,sachet,variable,H,cadre sup,0,46,1/jour,1
0,noir,pur,0,sachet,variable,H,étudiant,1,22,1 à 2/sem,1
0,parfumé,pur,1,sachet,variable,F,étudiant,1,21,1 à 2/sem,0
0,noir,pur,1,vrac,variable,H,cadre moyen,1,48,1 à 2/sem,0
0,noir,pur,0,vrac,variable,F,employé,1,44,3 à 6/sem,1
1,noir,pur,0,sachet+vrac,variable,F,étudiant,1,21,+ de 2/jour,1
1,parfumé,pur,0,sachet,variable,F,étudiant,1,21,1 à 2/sem,0
1,parfumé,pur,0,sachet,variable,H,non actif,1,21,+ de 2/jour,0
1,parfumé,pur,1,sachet,variable,F,étudiant,1,22,+ de 2/jour,0
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,1,20,+ de 2/jour,0
0,noir,citron,1,sachet,variable,F,autre actif,0,37,1 à 2/sem,1
0,parfumé,pur,1,sachet,marque_connue,H,cadre sup,0,26,1/jour,0
0,parfumé,pur,0,sachet,variable,F,autre actif,1,31,+ de 2/jour,0
1,parfumé,lait,1,vrac,variable,F,non actif,0,47,+ de 2/jour,1
1,noir,pur,0,sachet,haude_gamme,H,autre actif,0,27,1 à 2/sem,1
0,parfumé,lait,1,sachet,bas_de_gamme,H,non actif,1,60,3 à 6/sem,1
0,parfumé,lait,0,sachet,inconnu,H,cadre sup,1,34,1/jour,1
1,parfumé,pur,0,sachet+vrac,variable,F,étudiant,1,21,+ de 2/jour,0
0,parfumé,citron,1,sachet,bas_de_gamme,F,non actif,0,72,1 à 2/sem,1
0,parfumé,lait,1,sachet,marque_connue,F,non actif,1,53,+ de 2/jour,1
1,parfumé,lait,1,sachet,inconnu,F,autre actif,1,32,1/jour,1
0,parfumé,pur,0,sachet+vrac,variable,F,cadre sup,1,50,+ de 2/jour,1
0,vert,lait,0,sachet,variable,F,non actif,1,68,1 à 2/sem,1
1,vert,lait,0,sachet+vrac,haude_gamme,H,cadre sup,1,50,+ de 2/jour,0
1,parfumé,pur,1,sachet,variable,F,autre actif,0,36,1 à 2/sem,0
1,noir,citron,1,sachet,haude_gamme,F,non actif,0,73,+ de 2/jour,0
0,noir,lait,1,sachet,MDD,H,employé,1,41,1/jour,1
